"","subject","catalog_number","name_of_class","term","start_date","timestamp","census_date","total_of_enrollments"
"1","MATH","1010","Math for Liberal Arts","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"2","MATH","1070","College Algebra for Business","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"3","MATH","1110","College Algebra","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"4","MATH","1120","College Trigonometry","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"5","MATH","1130","Precalculus Mathematics","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"6","MATH","1401","Calculus I","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"7","MATH","2411","Calculus II","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"8","MATH","2421","Calculus III","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"9","MATH","2830","Introductory Statistics","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"10","MATH","3000","Intro to Abstract Math","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"11","MATH","3191","Applied Linear Algebra","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"12","MATH","3195","Linear Algebra Diff Equations","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"13","MATH","3200","Elementary Diff Equations","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"14","MATH","3382","Statistical Theory","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"15","MATH","3440","Intro to Symbolic Logic","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"16","MATH","3800","Probablty-Statistcs Engineers","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"17","MATH","4010","History of Mathematics","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"18","MATH","4027","Topics in Mathematics","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"19","MATH","4110","Theory of Numbers","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"20","MATH","4310","Intro to Real Analysis I","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"21","MATH","4320","Intro Real Analysis II","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"22","MATH","4387","Applied Regression Analysis","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"23","MATH","4390","Game Theory","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"24","MATH","4408","Applied Graph Theory","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"25","MATH","4450","Complex Variables","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"26","MATH","4650","Numerical Analysis I","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"27","MATH","4660","Numerical Analysis II","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"28","MATH","4733","Partial Differential Equations","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"29","MATH","4779","Math Clinic","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"30","MATH","4810","Probability","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"31","MATH","4830","Applied Statistics","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"32","MATH","5010","History of Mathematics","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"33","MATH","5027","Topics in Applied Mathematics","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"34","MATH","5070","Applied Analysis","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"35","MATH","5110","Theory of Numbers","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"36","MATH","5320","Intro Mathematical Statistics","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"37","MATH","5387","Applied Regression Analysis","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"38","MATH","5390","Game Theory","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"39","MATH","5490","Network Flows","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"40","MATH","5661","Numerical Analysis II","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"41","MATH","5718","Applied Linear Algebra","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"42","MATH","5733","Partial Differential Equations","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"43","MATH","5779","Math Clinic","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"44","MATH","5830","Applied Statistics","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"45","MATH","6330","Statistical Consulting","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"46","MATH","6595","Comput Meth Non-Linear Prog","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"47","MATH","7132","Functional Analysis","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"48","MATH","7393","Bayesian Statistics","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"49","MATH","7405","Advanced Graph Theory","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"50","MATH","7594","Integer Programming","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"51","MATH","7823","Topics in Discrete Math","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"52","MATH","8660","Math Finite Element Mthds","Spring 2019",2019-01-22,2018-11-01,2019-02-11,0
"53","MATH","1010","Math for Liberal Arts","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"54","MATH","1070","College Algebra for Business","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"55","MATH","1110","College Algebra","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"56","MATH","1120","College Trigonometry","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"57","MATH","1130","Precalculus Mathematics","Spring 2019",2019-01-22,2018-11-02,2019-02-11,2
"58","MATH","1401","Calculus I","Spring 2019",2019-01-22,2018-11-02,2019-02-11,11
"59","MATH","2411","Calculus II","Spring 2019",2019-01-22,2018-11-02,2019-02-11,2
